"";"Name";"ISIN Code";"Sektor";"Jahr";"Index";"fkq";"lfk";"kfk";"uw";"lngroesse";"sach";"ebit";"ndts";"steuer";"beta";"BIP";"ZS";"INFL";"MP"
"1";"AXEL SPRINGER (XET)";"DE0005501357";"Publishing";2005;NA;0,0999;0,0544;0,0455;-0,0044;14,69;0,3174;0,1553;0,0275;0,3355;-0,04;0,88;1,17;1,6;0,253
"2";"AXEL SPRINGER (XET)";NA;"Publishing";2006;NA;0,0358;0,0327;0,0032;-0,0065;14,68;0,2429;0,1398;0,0197;0,2443;0,28;3,87;0,68;1,5;0,1916
"3";"AXEL SPRINGER (XET)";NA;"Publishing";2007;"SDAX";0,2466;0,2437;0,0029;0,085;14,76;0,1983;0,111;0,0159;0,2131;0,34;3,38;-0,06;2,3;0,2236
"4";"AXEL SPRINGER (XET)";NA;"Publishing";2008;"SDAX";0,1874;0,1833;0,0041;0,0584;14,82;0,2583;0,2636;0,0288;0,159;0,34;0,82;-0,65;2,6;-0,4072
"5";"AXEL SPRINGER (XET)";NA;"Publishing";2009;"SDAX";0,1337;0,1315;0,0022;-0,0429;14,78;0,2415;0,143;0,0307;0,201;0,38;-5,57;1,99;0,3;0,1979
"6";"AXEL SPRINGER (XET)";NA;"Publishing";2010;"MDAX";0,0997;0,0934;0,0063;0,1081;14,88;0,1922;0,1106;0,0291;0,2623;0,61;3,95;1,93;1,1;0,1606
"7";"AXEL SPRINGER (XET)";NA;"Publishing";2011;"MDAX";0,1723;0,1618;0,0106;0,1006;14,97;0,1678;0,1068;0,031;0,2972;0,66;3,72;1,22;2,1;-0,1511
"8";"AXEL SPRINGER (XET)";NA;"Publishing";2012;"MDAX";0,1482;0,1456;0,0026;0,0394;15,01;0,1455;0,0903;0,0313;0,2933;0,73;0,69;0,93;2;0,2566
"9";"AXEL SPRINGER (XET)";NA;"Publishing";2013;"MDAX";0,1521;0,1519;2e-04;-0,1537;14,85;0,1353;0,0622;0,0348;0,2994;0,14;0,59;1,35;1,5;0,2331
"10";"AXEL SPRINGER (XET)";NA;"Publishing";2014;"MDAX";0,191;0,1902;7e-04;0,0844;14,93;0,0951;0,0636;0,0308;0,2256;0,79;1,6;0,95;0,9;0,0516
"11";"AXEL SPRINGER (XET)";NA;"Publishing";2015;"MDAX";0,194;0,1851;0,0089;0,0846;15,01;0,0786;0,0732;0,0304;0,288;0,65;1,48;0,52;0,3;0,0986
"12";"ADIDAS (XET)";"DE000A1EWWW0";"Footwear";2005;"DAX";0,1883;0,1878;5e-04;0,0243;15,71;0,0764;0,1312;0,0205;0,303;0,75;0,88;1,17;1,6;0,253
"13";"ADIDAS (XET)";NA;"Footwear";2006;"DAX";0,3214;0,3211;2e-04;0,5197;16,13;0,0856;0,1127;0,0246;0,2503;0,63;3,87;0,68;1,5;0,1916
"14";"ADIDAS (XET)";NA;"Footwear";2007;"DAX";0,2685;0,2683;2e-04;0,0213;16,15;0,0876;0,1221;0,0261;0,2658;0,66;3,38;-0,06;2,3;0,2236
"15";"ADIDAS (XET)";NA;"Footwear";2008;"DAX";0,2802;0,1935;0,0867;0,0485;16,19;0,0964;0,1177;0,0248;0,2403;0,84;0,82;-0,65;2,6;-0,4072
"16";"ADIDAS (XET)";NA;"Footwear";2009;"DAX";0,2091;0,1856;0,0235;-0,0387;16,16;0,0854;0,0586;0,0312;0,2278;0,84;-5,57;1,99;0,3;0,1979
"17";"ADIDAS (XET)";NA;"Footwear";2010;"DAX";0,1597;0,1325;0,0272;0,155;16,3;0,0846;0,0908;0,0246;0,2593;0,96;3,95;1,93;1,1;0,1606
"18";"ADIDAS (XET)";NA;"Footwear";2011;"DAX";0,1182;0,0914;0,0268;0,1129;16,41;0,0885;0,0951;0,0233;0,2483;0,69;3,72;1,22;2,1;-0,1511
"19";"ADIDAS (XET)";NA;"Footwear";2012;"DAX";0,1353;0,1097;0,0256;0,1153;16,52;0,0984;0,0852;0,0237;0,3449;0,66;0,69;0,93;2;0,2566
"20";"ADIDAS (XET)";NA;"Footwear";2013;"DAX";0,1212;0,0596;0,0616;-0,0263;16,49;0,1114;0,1086;0,0257;0,285;0,85;0,59;1,35;1,5;0,2331
"21";"ADIDAS (XET)";NA;"Footwear";2014;"DAX";0,159;0,1344;0,0246;0,0029;16,49;0,1228;0,0755;0,0267;0,3031;0,93;1,6;0,95;0,9;0,0516
"22";"ADIDAS (XET)";NA;"Footwear";2015;"DAX";0,1447;0,1156;0,029;0,1638;16,64;0,1289;0,087;0,0267;0,3195;0,68;1,48;0,52;0,3;0,0986
"23";"ADVA OPTICAL NETWG.(XET)";"DE0005103006";"Telecom. Equipment";2005;NA;0,1439;0,065;0,0789;0,2855;11,79;0,1134;0,1618;0,0461;0,3079;0,4;0,88;1,17;1,6;0,253
"24";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2006;"TecDAX";0,1471;0,0781;0,069;0,4678;12,17;0,101;-7e-04;0,0649;0;0,7;3,87;0,68;1,5;0,1916
"25";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2007;"TecDAX";0,1826;0,1755;0,0071;0,305;12,44;0,1093;-0,0968;0,0959;0;0,85;3,38;-0,06;2,3;0,2236
"26";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2008;NA;0,1779;0,1475;0,0304;-0,1345;12,29;0,0974;-0,037;0,0887;0,0386;1,51;0,82;-0,65;2,6;-0,4072
"27";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2009;NA;0,1485;0,0805;0,068;0,0695;12,36;0,0916;0,0162;0,0922;0,0936;1,19;-5,57;1,99;0,3;0,1979
"28";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2010;"TecDAX";0,1283;0,1218;0,0065;0,2531;12,58;0,0901;0,0546;0,0897;0,3181;1,78;3,95;1,93;1,1;0,1606
"29";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2011;"TecDAX";0,1124;0,0708;0,0416;0,0659;12,65;0,0871;0,0628;0,098;0;1,04;3,72;1,22;2,1;-0,1511
"30";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2012;"TecDAX";0,1069;0,0525;0,0543;0,0615;12,71;0,0859;0,073;0,0968;0,0899;1,25;0,69;0,93;2;0,2566
"31";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2013;"TecDAX";0,141;0,1259;0,0151;-0,0587;12,65;0,0787;0,0203;0,1005;0;0,66;0,59;1,35;1,5;0,2331
"32";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2014;NA;0,117;0,0926;0,0244;0,0916;12,73;0,0701;0,032;0,1122;0;1,09;1,6;0,95;0,9;0,0516
"33";"ADVA OPTICAL NETWG.(XET)";NA;"Telecom. Equipment";2015;"TecDAX";0,1177;0,0675;0,0503;0,303;13;0,0551;0,0799;0,1029;0,0424;0,72;1,48;0,52;0,3;0,0986
"34";"AIRBUS GROUP (XET)";"NL0000235190";"Aerospace";2005;"MDAX";0,0742;0,061;0,0132;0,077;17,35;0,2011;0,043;0,0205;0,2791;0,72;0,88;1,17;1,6;0,253
"35";"AIRBUS GROUP (XET)";NA;"Aerospace";2006;"MDAX";0,0823;0,0509;0,0314;0,1528;17,49;0,2027;0,0065;0,0215;0;1,21;3,87;0,68;1,5;0,1916
"36";"AIRBUS GROUP (XET)";NA;"Aerospace";2007;"MDAX";0,0662;0,0425;0,0237;-0,0079;17,48;0,1841;-0,0038;0,0237;0;0,94;3,38;-0,06;2,3;0,2236
"37";"AIRBUS GROUP (XET)";NA;"Aerospace";2008;"MDAX";0,0614;0,0415;0,0199;0,1059;17,58;0,1656;0,0393;0,0227;0,244;1,07;0,82;-0,65;2,6;-0,4072
"38";"AIRBUS GROUP (XET)";NA;"Aerospace";2009;"MDAX";0,0682;0,0369;0,0313;-0,0102;17,57;0,1611;-0,006;0,0235;0,4691;0,85;-5,57;1,99;0,3;0,1979
"39";"AIRBUS GROUP (XET)";NA;"Aerospace";2010;"MDAX";0,0542;0,0364;0,0178;0,0684;17,64;0,1701;0,0156;0,0195;0,1982;1,25;3,95;1,93;1,1;0,1606
"40";"AIRBUS GROUP (XET)";NA;"Aerospace";2011;"MDAX";0,0606;0,0431;0,0175;0,0738;17,71;0,1682;0,0209;0,0224;0,2026;0,62;3,72;1,22;2,1;-0,1511
"41";"AIRBUS GROUP (XET)";NA;"Aerospace";2012;"MDAX";0,1203;0,1057;0,0145;0,1496;17,85;0,1735;0,0251;0,0234;0,2041;0,63;0,69;0,93;2;0,2566
"42";"AIRBUS GROUP (XET)";NA;"Aerospace";2013;"MDAX";0,1338;0,1103;0,0235;0,0492;17,9;0,1772;0,0277;0,022;0,2029;0,35;0,59;1,35;1,5;0,2331
"43";"AIRBUS GROUP (XET)";NA;"Aerospace";2014;"MDAX";0,1536;0,1361;0,0175;0,0246;17,92;0,1806;0,0407;0,0229;0,2348;1,15;1,6;0,95;0,9;0,0516
"44";"AIRBUS GROUP (XET)";NA;"Aerospace";2015;"MDAX";0,1642;0,1306;0,0336;0,0616;17,98;0,1714;0,0393;0,0247;0,1724;1,06;1,48;0,52;0,3;0,0986
"45";"ALSTRIA OFFICE REIT(XET)";"DE000A0LD2U1";"Ind. & Office REITs";2005;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0,88;1,17;1,6;0,253
"46";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2006;NA;0,6119;0,6106;0,0013;NA;10,49;0,968;0,0288;NA;0,1067;NA;3,87;0,68;1,5;0,1916
"47";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2007;"SDAX";0,5101;0,5053;0,0049;1,4785;11,4;0,9236;0,0473;2e-04;0;NA;3,38;-0,06;2,3;0,2236
"48";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2008;"SDAX";0,5868;0,5801;0,0067;0,3013;11,67;0,9657;0,0023;3e-04;0,0176;1,25;0,82;-0,65;2,6;-0,4072
"49";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2009;"SDAX";0,5884;0,5363;0,0521;-0,1012;11,56;0,8104;-0,0283;2e-04;0;1,27;-5,57;1,99;0,3;0,1979
"50";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2010;"SDAX";0,5149;0,5099;0,0051;0,1113;11,66;0,8793;0,0165;4e-04;0;0,28;3,95;1,93;1,1;0,1606
"51";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2011;"SDAX";0,5095;0,5068;0,0027;-0,0673;11,59;0,909;0,032;3e-04;0;0,86;3,72;1,22;2,1;-0,1511
"52";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2012;"SDAX";0,4992;0,4937;0,0056;0,1084;11,7;0,9113;0,0357;3e-04;7e-04;0,82;0,69;0,93;2;0,2566
"53";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2013;"SDAX";0,502;0,4606;0,0414;-0,1261;11,56;0,917;0,0435;3e-04;5e-04;0,24;0,59;1,35;1,5;0,2331
"54";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2014;"SDAX";0,4983;0,494;0,0044;0,0118;11,57;0,9331;0,0345;2e-04;3e-04;0,37;1,6;0,95;0,9;0,0516
"55";"ALSTRIA OFFICE REIT(XET)";NA;"Ind. & Office REITs";2015;"SDAX";0,5433;0,4455;0,0978;0,2035;11,76;0,8481;-0,0219;1e-04;0;0,59;1,48;0,52;0,3;0,0986
"56";"AURUBIS (XET)";"DE0006766504";"Nonferrous Metals";2005;"MDAX";0,111;0,0927;0,0184;0,2183;14,92;0,2971;0,0892;0,0481;0,2892;0,84;0,88;1,17;1,6;0,253
"57";"AURUBIS (XET)";NA;"Nonferrous Metals";2006;"MDAX";0,0856;0,0416;0,0441;0,9035;15,57;0,1548;0,1573;0,0241;0,3917;0,92;3,87;0,68;1,5;0,1916
"58";"AURUBIS (XET)";NA;"Nonferrous Metals";2007;"MDAX";0,1289;0,066;0,0629;0,1244;15,68;0,1571;0,1383;0,0224;0,2593;1,25;3,38;-0,06;2,3;0,2236
"59";"AURUBIS (XET)";NA;"Nonferrous Metals";2008;"MDAX";0,3056;0,1615;0,1441;0,2961;15,94;0,2684;0,0924;0,0237;0,2409;0,78;0,82;-0,65;2,6;-0,4072
"60";"AURUBIS (XET)";NA;"Nonferrous Metals";2009;"MDAX";0,2355;0,1595;0,0761;-0,2025;15,72;0,3083;-0,0069;0,0352;0,9903;1,23;-5,57;1,99;0,3;0,1979
"61";"AURUBIS (XET)";NA;"Nonferrous Metals";2010;"MDAX";0,1988;0,0977;0,1011;0,4753;16,1;0,2521;0,1409;0,0312;0,2528;1,52;3,95;1,93;1,1;0,1606
"62";"AURUBIS (XET)";NA;"Nonferrous Metals";2011;"MDAX";0,1789;0,1585;0,0205;0,3518;16,41;0,2241;0,1076;0,0247;0,2111;0,88;3,72;1,22;2,1;-0,1511
"63";"AURUBIS (XET)";NA;"Nonferrous Metals";2012;"MDAX";0,1585;0,1106;0,0479;0,034;16,44;0,2557;0,1153;0,022;0,271;0,61;0,69;0,93;2;0,2566
"64";"AURUBIS (XET)";NA;"Nonferrous Metals";2013;"MDAX";0,123;0,1023;0,0207;-0,1046;16,33;0,3241;-0,0463;0,031;0,409;0,78;0,59;1,35;1,5;0,2331
"65";"AURUBIS (XET)";NA;"Nonferrous Metals";2014;"MDAX";0,1531;0,0793;0,0738;-0,082;16,24;0,3348;0,0242;0,0328;0,1512;0,81;1,6;0,95;0,9;0,0516
"66";"AURUBIS (XET)";NA;"Nonferrous Metals";2015;"MDAX";0,1254;0,1191;0,0063;-0,0299;16,21;0,3189;0,0496;0,0338;0,179;0,52;1,48;0,52;0,3;0,0986
"67";"BASF (XET)";"DE000BASF111";"Commodity Chemicals";2005;"DAX";0,1167;0,1088;0,0079;0,1388;17,57;0,4021;0,1792;0,0682;0,4424;1,2;0,88;1,17;1,6;0,253
"68";"BASF (XET)";NA;"Commodity Chemicals";2006;"DAX";0,2133;0,1308;0,0826;0,2308;17,78;0,3316;0,1565;0,0583;0,4352;0,8;3,87;0,68;1,5;0,1916
"69";"BASF (XET)";NA;"Commodity Chemicals";2007;"DAX";0,219;0,1509;0,0681;0,1015;17,88;0,3053;0,1612;0,059;0,3478;0,93;3,38;-0,06;2,3;0,2236
"70";"BASF (XET)";NA;"Commodity Chemicals";2008;"DAX";0,2905;0,1663;0,1242;0,0751;17,95;0,2992;0,1301;0,0559;0,4088;1,1;0,82;-0,65;2,6;-0,4072
"71";"BASF (XET)";NA;"Commodity Chemicals";2009;"DAX";0,2945;0,2472;0,0473;-0,1864;17,74;0,3219;0,0742;0,0614;0,3792;1,31;-5,57;1,99;0,3;0,1979
"72";"BASF (XET)";NA;"Commodity Chemicals";2010;"DAX";0,2568;0,1993;0,0575;0,26;17,97;0,2933;0,1385;0,0539;0,2824;1,17;3,95;1,93;1,1;0,1606
"73";"BASF (XET)";NA;"Commodity Chemicals";2011;"DAX";0,2155;0,1496;0,0659;0,1507;18,11;0,2963;0,1604;0,0505;0,2433;1,1;3,72;1,22;2,1;-0,1511
"74";"BASF (XET)";NA;"Commodity Chemicals";2012;"DAX";0,2119;0,1448;0,0671;0,0712;18,18;0,2868;0,1449;0,0506;0,3501;1,05;0,69;0,93;2;0,2566
"75";"BASF (XET)";NA;"Commodity Chemicals";2013;"DAX";0,2286;0,177;0,0516;-0,0604;18,12;0,288;0,115;0,0498;0,2112;1,16;0,59;1,35;1,5;0,2331
"76";"BASF (XET)";NA;"Commodity Chemicals";2014;"DAX";0,2237;0,1722;0,0515;0,0048;18,12;0,3397;0,1122;0,05;0,2205;1,03;1,6;0,95;0,9;0,0516
"77";"BASF (XET)";NA;"Commodity Chemicals";2015;"DAX";0,2213;0,162;0,0593;-0,0522;18,07;0,3658;0,0874;0,0547;0,2066;1,19;1,48;0,52;0,3;0,0986
"78";"BMW (XET)";"DE0005190003";"Automobiles";2005;"DAX";0,4698;0,2281;0,2417;0,0524;17,66;0,3044;0,0489;0,0567;0,2907;0,71;0,88;1,17;1,6;0,253
"79";"BMW (XET)";NA;"Automobiles";2006;"DAX";0,4656;0,2401;0,2255;0,0502;17,71;0,3183;0,0567;0,0617;0,2813;0,93;3,87;0,68;1,5;0,1916
"80";"BMW (XET)";NA;"Automobiles";2007;"DAX";0,4917;0,2369;0,2548;0,1432;17,84;0,3186;0,0464;0,0696;0,1803;0,85;3,38;-0,06;2,3;0,2236
"81";"BMW (XET)";NA;"Automobiles";2008;"DAX";0,5939;0,2957;0,2982;-0,0504;17,79;0,3075;0,0051;0,0763;0,041;0,95;0,82;-0,65;2,6;-0,4072
"82";"BMW (XET)";NA;"Automobiles";2009;"DAX";0,6037;0,3362;0,2675;-0,0473;17,74;0,2916;0,0077;0,0724;0,2613;1,19;-5,57;1,99;0,3;0,1979
"83";"BMW (XET)";NA;"Automobiles";2010;"DAX";0,5702;0,3235;0,2468;0,1933;17,92;0,2719;0,0473;0,0605;0,3149;1,19;3,95;1,93;1,1;0,1606
"84";"BMW (XET)";NA;"Automobiles";2011;"DAX";0,5473;0,2973;0,25;0,138;18,05;0,2864;0,0627;0,061;0,325;1,03;3,72;1,22;2,1;-0,1511
"85";"BMW (XET)";NA;"Automobiles";2012;"DAX";0,5215;0,294;0,2275;0,1166;18,16;0,2912;0,0618;0,0599;0,3359;1,25;0,69;0,93;2;0,2566
"86";"BMW (XET)";NA;"Automobiles";2013;"DAX";0,506;0,2835;0,2225;-0,0103;18,15;0,3;0,0611;0,0509;0,3081;1,21;0,59;1,35;1,5;0,2331
"87";"BMW (XET)";NA;"Automobiles";2014;"DAX";0,5074;0,2747;0,2328;0,0571;18,2;0,31;0,0597;0,0496;0,3169;1,17;1,6;0,95;0,9;0,0516
"88";"BMW (XET)";NA;"Automobiles";2015;"DAX";0,5119;0,2771;0,2348;0,1464;18,34;0,3097;0,0574;0,0481;0,2895;1,17;1,48;0,52;0,3;0,0986
"89";"BAYER (XET)";"DE000BAY0017";"Specialty Chemicals";2005;"DAX";0,2489;0,1995;0,0495;-0,0798;17,13;0,2329;0,0871;0,0492;0,206;1,21;0,88;1,17;1,6;0,253
"90";"BAYER (XET)";NA;"Specialty Chemicals";2006;"DAX";0,3592;0,2664;0,0929;0,0574;17,18;0,1621;0,0615;0,0408;0,1351;0,72;3,87;0,68;1,5;0,1916
"91";"BAYER (XET)";NA;"Specialty Chemicals";2007;"DAX";0,2768;0,2513;0,0255;0,1184;17,29;0,1745;0,0703;0,049;0;0,95;3,38;-0,06;2,3;0,2236
"92";"BAYER (XET)";NA;"Specialty Chemicals";2008;"DAX";0,3158;0,1939;0,1218;0,0165;17,31;0,1848;0,0643;0,05;0,1925;0,75;0,82;-0,65;2,6;-0,4072
"93";"BAYER (XET)";NA;"Specialty Chemicals";2009;"DAX";0,2483;0,2186;0,0297;-0,0532;17,25;0,1878;0,0536;0,0531;0,1903;0,74;-5,57;1,99;0,3;0,1979
"94";"BAYER (XET)";NA;"Specialty Chemicals";2010;"DAX";0,2291;0,1916;0,0375;0,1258;17,37;0,1954;0,0468;0,0505;0,1744;1,16;3,95;1,93;1,1;0,1606
"95";"BAYER (XET)";NA;"Specialty Chemicals";2011;"DAX";0,2222;0,1506;0,0716;0,041;17,41;0,1909;0,0785;0,049;0,2205;0,89;3,72;1,22;2,1;-0,1511
"96";"BAYER (XET)";NA;"Specialty Chemicals";2012;"DAX";0,1876;0,1359;0,0517;0,0885;17,5;0,1982;0,0765;0,0525;0,1976;0,94;0,69;0,93;2;0,2566
"97";"BAYER (XET)";NA;"Specialty Chemicals";2013;"DAX";0,1683;0,1014;0,0669;0,01;17,51;0,2014;0,0967;0,0525;0,2123;0,88;0,59;1,35;1,5;0,2331
"98";"BAYER (XET)";NA;"Specialty Chemicals";2014;"DAX";0,3104;0,2646;0,0458;0,0518;17,56;0,1699;0,0765;0,04;0,2104;1,1;1,6;0,95;0,9;0,0516
"99";"BAYER (XET)";NA;"Specialty Chemicals";2015;"DAX";0,2767;0,2359;0,0408;0,0967;17,65;0,1787;0,0866;0,0441;0,2046;1,13;1,48;0,52;0,3;0,0986
"100";"BECHTLE (XET)";"DE0005158703";"Computer Services";2005;"TecDAX";0,0536;0,0363;0,0172;0,0828;13,98;0,0457;0,1037;0,0293;0,2821;0,89;0,88;1,17;1,6;0,253
"101";"BECHTLE (XET)";NA;"Computer Services";2006;"TecDAX";0,0361;0,0221;0,014;0,0355;14,01;0,0453;0,1126;0,0345;0,3241;0,86;3,87;0,68;1,5;0,1916
"102";"BECHTLE (XET)";NA;"Computer Services";2007;"TecDAX";0,0218;0,0083;0,0135;0,1338;14,14;0,0438;0,1332;0,0302;0,3032;1,26;3,38;-0,06;2,3;0,2236
"103";"BECHTLE (XET)";NA;"Computer Services";2008;"TecDAX";0,0319;0,0106;0,0213;0,0347;14,17;0,0484;0,1266;0,0283;0,2589;0,69;0,82;-0,65;2,6;-0,4072
"104";"BECHTLE (XET)";NA;"Computer Services";2009;"TecDAX";0,0179;0,0129;0,005;-0,0364;14,14;0,0543;0,0866;0,0279;0,2127;0,57;-5,57;1,99;0,3;0,1979
"105";"BECHTLE (XET)";NA;"Computer Services";2010;"TecDAX";0,0266;0,0191;0,0075;0,2491;14,36;0,0453;0,097;0,0239;0,2463;1;3,95;1,93;1,1;0,1606
"106";"BECHTLE (XET)";NA;"Computer Services";2011;"TecDAX";0,0835;0,0722;0,0113;0,1578;14,51;0,1004;0,1111;0,0231;0,2673;0,81;3,72;1,22;2,1;-0,1511
"107";"BECHTLE (XET)";NA;"Computer Services";2012;"TecDAX";0,088;0,073;0,015;0,0511;14,56;0,1129;0,0986;0,026;0,2749;0,53;0,69;0,93;2;0,2566
"108";"BECHTLE (XET)";NA;"Computer Services";2013;"TecDAX";0,0708;0,0592;0,0116;0,0842;14,64;0,1101;0,1022;0,0248;0,2799;0,43;0,59;1,35;1,5;0,2331
"109";"BECHTLE (XET)";NA;"Computer Services";2014;"TecDAX";0,0595;0,0469;0,0125;0,135;14,76;0,1029;0,109;0,0235;0,2825;1,05;1,6;0,95;0,9;0,0516
"110";"BECHTLE (XET)";NA;"Computer Services";2015;"TecDAX";0,0576;0,0492;0,0084;0,0972;14,86;0,0889;0,1153;0,0231;0,2765;0,56;1,48;0,52;0,3;0,0986
"111";"BEIERSDORF (XET)";"DE0005200000";"Personal Products";2005;"MDAX";0,0358;0,0101;0,0257;0,0506;15,38;0,3069;0,191;0,0564;0,3643;0,58;0,88;1,17;1,6;0,253
"112";"BEIERSDORF (XET)";NA;"Personal Products";2006;"MDAX";0,0202;0,0023;0,0179;0,072;15,45;0,2136;0,25;0,0352;0,2113;0,66;3,87;0,68;1,5;0,1916
"113";"BEIERSDORF (XET)";NA;"Personal Products";2007;"MDAX";0,0216;3e-04;0,0213;0,0756;15,52;0,1784;0,1701;0,0296;0,3084;0,94;3,38;-0,06;2,3;0,2236
"114";"BEIERSDORF (XET)";NA;"Personal Products";2008;"DAX";0,0554;0,0161;0,0393;0,0843;15,6;0,1644;0,189;0,0258;0,305;0,45;0,82;-0,65;2,6;-0,4072
"115";"BEIERSDORF (XET)";NA;"Personal Products";2009;"DAX";0,0342;0,0015;0,0326;-0,0373;15,56;0,1598;0,1318;0,0295;0,3395;0,46;-5,57;1,99;0,3;0,1979
"116";"BEIERSDORF (XET)";NA;"Personal Products";2010;"DAX";0,0241;0,0012;0,0229;0,0776;15,64;0,1427;0,1128;0,0283;0,4011;0,54;3,95;1,93;1,1;0,1606
"117";"BEIERSDORF (XET)";NA;"Personal Products";2011;"DAX";0,0341;0,001;0,0332;-0,0906;15,54;0,1224;0,0885;0,0268;0,3943;0,42;3,72;1,22;2,1;-0,1511
"118";"BEIERSDORF (XET)";NA;"Personal Products";2012;"DAX";0,0186;0,002;0,0166;0,0723;15,61;0,1252;0,1312;0,0278;0,3593;0,42;0,69;0,93;2;0,2566
"119";"BEIERSDORF (XET)";NA;"Personal Products";2013;"DAX";0,0175;9e-04;0,0166;0,0167;15,63;0,1386;0,1449;0,0187;0,3313;0,51;0,59;1,35;1,5;0,2331
"120";"BEIERSDORF (XET)";NA;"Personal Products";2014;"DAX";0,0184;2e-04;0,0183;0,0234;15,65;0,1571;0,1333;0,0292;0,335;0,6;1,6;0,95;0,9;0,0516
"121";"BEIERSDORF (XET)";NA;"Personal Products";2015;"DAX";0,0144;1e-04;0,0142;0,0638;15,72;0,1577;0,147;0,0193;0,3024;0,85;1,48;0,52;0,3;0,0986
"122";"BILFINGER BERGER (XET)";"DE0005909006";"Business Support Svs.";2005;"MDAX";0,1475;0,1354;0,0121;0,1412;15,64;0,1213;0,0311;0,0205;0,3171;0,82;0,88;1,17;1,6;0,253
"123";"BILFINGER BERGER (XET)";NA;"Business Support Svs.";2006;"MDAX";0,1931;0,1798;0,0133;0,2099;15,83;0,1214;0,0375;0,0197;0,4102;1,43;3,87;0,68;1,5;0,1916
"124";"BILFINGER BERGER (XET)";NA;"Business Support Svs.";2007;"MDAX";0,2452;0,2304;0,0148;0,1503;15,97;0,0968;0,0404;0,0209;0,3623;1,45;3,38;-0,06;2,3;0,2236
"125";"BILFINGER BERGER (XET)";NA;"Business Support Svs.";2008;"MDAX";0,2803;0,2725;0,0078;0,1296;16,09;0,091;0,0464;0,0255;0,2594;1,25;0,82;-0,65;2,6;-0,4072
"126";"BILFINGER BERGER (XET)";NA;"Business Support Svs.";2009;"MDAX";0,2926;0,2853;0,0072;-0,0181;16,08;0,1032;0,0312;0,0195;0,2966;1,32;-5,57;1,99;0,3;0,1979
"127";"BILFINGER BERGER (XET)";NA;"Business Support Svs.";2010;"MDAX";0,2474;0,2334;0,014;-0,1643;15,9;0,0855;0,0423;0,0208;0,2901;1,47;3,95;1,93;1,1;0,1606
"128";"BILFINGER BERGER (XET)";NA;"Business Support Svs.";2011;"MDAX";0,0706;0,0688;0,0017;0,0252;15,92;0,0856;0,0471;0,0213;0,3057;0,89;3,72;1,22;2,1;-0,1511
"129";"BILFINGER BERGER (XET)";NA;"Business Support Svs.";2012;"MDAX";0,177;0,1468;0,0301;0,0366;15,96;0,1034;0,0609;0,0265;0,2545;0,82;0,69;0,93;2;0,2566
"130";"BILFINGER BERGER (XET)";NA;"Business Support Svs.";2013;"MDAX";0,0924;0,0835;0,0089;-0,0111;15,95;0,1123;0,0435;0,0304;0,2593;0,86;0,59;1,35;1,5;0,2331
"131";"BILFINGER BERGER (XET)";NA;"Business Support Svs.";2014;"MDAX";0,1016;0,0921;0,0095;-0,0853;15,86;0,1133;-4e-04;0,0277;0;0,93;1,6;0,95;0,9;0,0516
"132";"BILFINGER BERGER (XET)";NA;"Business Support Svs.";2015;"MDAX";0,1056;0,1041;0,0015;-0,158;15,68;0,0885;0,026;0,0242;0,7648;1,02;1,48;0,52;0,3;0,0986
"133";"CANCOM (XET)";"DE0005419105";"Computer Services";2005;NA;0,129;0,1039;0,0251;0,0931;12,33;0,1175;0,036;0,0212;0,1289;0,59;0,88;1,17;1,6;0,253
"134";"CANCOM (XET)";NA;"Computer Services";2006;NA;0,122;0,1159;0,0061;0,1721;12,49;0,1024;0,0534;0,0182;0,1375;0,55;3,87;0,68;1,5;0,1916
"135";"CANCOM (XET)";NA;"Computer Services";2007;NA;0,185;0,1651;0,0199;0,1323;12,61;0,031;0,0651;0,0191;0;0,72;3,38;-0,06;2,3;0,2236
"136";"CANCOM (XET)";NA;"Computer Services";2008;NA;0,1556;0,1403;0,0152;0,1516;12,75;0,0457;0,0612;0,0186;0,1734;0,89;0,82;-0,65;2,6;-0,4072
